_id,CRE,type candidature,genre,annee_naissance,Effectif_Admis
135,Kébili,Privé,Feminin,2009,17
136,Kébili,Privé,Feminin,2010 et après,1
137,Tataouine,Public,Masculin,2009,41
138,Tataouine,Public,Masculin,2010 et après,6
139,Tataouine,Public,Feminin,2009,70
140,Tataouine,Public,Feminin,2010 et après,10
141,Médenine,Public,Masculin,2008 et avant,3
142,Médenine,Public,Masculin,2009,239
143,Médenine,Public,Masculin,2010 et après,26
144,Médenine,Public,Feminin,2009,375
145,Médenine,Public,Feminin,2010 et après,30
146,Médenine,Privé,Masculin,2008 et avant,1
147,Médenine,Privé,Masculin,2009,27
148,Médenine,Privé,Masculin,2010 et après,1
149,Médenine,Privé,Feminin,2009,27
150,Médenine,Privé,Feminin,2010 et après,1
151,Gabès,Public,Masculin,2008 et avant,2
152,Gabès,Public,Masculin,2009,164
153,Gabès,Public,Masculin,2010 et après,21
154,Gabès,Public,Feminin,2008 et avant,1
155,Gabès,Public,Feminin,2009,330
156,Gabès,Public,Feminin,2010 et après,31
157,Gabès,Privé,Masculin,2009,20
158,Gabès,Privé,Masculin,2010 et après,2
159,Gabès,Privé,Feminin,2009,34
160,Gabès,Privé,Feminin,2010 et après,3
161,Sfax 1,Public,Masculin,2008 et avant,1
162,Sfax 1,Public,Masculin,2009,310
163,Sfax 1,Public,Masculin,2010 et après,31
164,Sfax 1,Public,Feminin,2008 et avant,1
165,Sfax 1,Public,Feminin,2009,493
166,Sfax 1,Public,Feminin,2010 et après,54
167,Sfax 1,Privé,Masculin,2009,13
168,Sfax 1,Privé,Masculin,2010 et après,4
169,Sfax 1,Privé,Feminin,2009,15
170,Sfax 1,Privé,Feminin,2010 et après,1
171,Sfax 2,Public,Masculin,2009,166
172,Sfax 2,Public,Masculin,2010 et après,17
173,Sfax 2,Public,Feminin,2009,315
174,Sfax 2,Public,Feminin,2010 et après,46
175,Sfax 2,Privé,Masculin,2009,3
176,Sfax 2,Privé,Masculin,2010 et après,1
177,Sfax 2,Privé,Feminin,2009,4
178,Sfax 2,Privé,Feminin,2010 et après,4
179,Sfax 2,Libre,Feminin,2009,2
180,Mahdia,Public,Masculin,2009,140
181,Mahdia,Public,Masculin,2010 et après,14
182,Mahdia,Public,Feminin,2008 et avant,1
183,Mahdia,Public,Feminin,2009,253
184,Mahdia,Public,Feminin,2010 et après,29
185,Mahdia,Privé,Masculin,2008 et avant,1
186,Mahdia,Privé,Masculin,2009,11
187,Mahdia,Privé,Masculin,2010 et après,1
188,Mahdia,Privé,Feminin,2009,4
189,Mahdia,Privé,Feminin,2010 et après,3
190,Kairouan,Public,Masculin,2009,134
191,Kairouan,Public,Masculin,2010 et après,9
192,Kairouan,Public,Feminin,2009,214
193,Kairouan,Public,Feminin,2010 et après,23
194,Kairouan,Privé,Masculin,2008 et avant,4
195,Kairouan,Privé,Masculin,2009,114
196,Kairouan,Privé,Masculin,2010 et après,18
197,Kairouan,Privé,Feminin,2008 et avant,1
198,Kairouan,Privé,Feminin,2009,141
199,Kairouan,Privé,Feminin,2010 et après,20
200,Kairouan,Libre,Feminin,2009,1
201,Monastir,Public,Masculin,2009,254
202,Monastir,Public,Masculin,2010 et après,19
203,Monastir,Public,Feminin,2008 et avant,1
204,Monastir,Public,Feminin,2009,486
205,Monastir,Public,Feminin,2010 et après,48
206,Monastir,Privé,Masculin,2009,99
207,Monastir,Privé,Masculin,2010 et après,15
208,Monastir,Privé,Feminin,2009,123
209,Monastir,Privé,Feminin,2010 et après,16
210,Monastir,Libre,Feminin,2009,1
211,Sousse,Public,Masculin,2009,273
212,Sousse,Public,Masculin,2010 et après,20
213,Sousse,Public,Feminin,2008 et avant,2
214,Sousse,Public,Feminin,2009,465
215,Sousse,Public,Feminin,2010 et après,47
216,Sousse,Privé,Masculin,2008 et avant,4
217,Sousse,Privé,Masculin,2009,182
218,Sousse,Privé,Masculin,2010 et après,25
219,Sousse,Privé,Feminin,2008 et avant,3
220,Sousse,Privé,Feminin,2009,186
221,Sousse,Privé,Feminin,2010 et après,33
222,Sousse,Libre,Feminin,2009,3
223,Nabeul,Public,Masculin,2008 et avant,2
224,Nabeul,Public,Masculin,2009,330
225,Nabeul,Public,Masculin,2010 et après,19
226,Nabeul,Public,Feminin,2008 et avant,6
227,Nabeul,Public,Feminin,2009,574
228,Nabeul,Public,Feminin,2010 et après,42
229,Nabeul,Privé,Masculin,2009,71
230,Nabeul,Privé,Masculin,2010 et après,8
231,Nabeul,Privé,Feminin,2008 et avant,1
232,Nabeul,Privé,Feminin,2009,104
233,Nabeul,Privé,Feminin,2010 et après,12
234,Nabeul,Libre,Masculin,2009,1
