Societe;Agence;Nom de la station;Proprietaire de la station;lon;lat;joindre des photos;Type de la station;Type de mobilier;Existence de bancs;Existence eclairage;Existence poubelle;Existence acces PMR;Type TNRP;Commune;Delegation;Gouvernorat;Code-Station
TRANSTU;District tunis 1;Still  -r-;Dépôt el Bokri ;9.945478;36.834009;http://mdc.giscloud.com/rest/1/layers/3536205/features/2030/joindre_des_photos/mdc_photo_mdc_afb8d7_1614084150727_1614084161478.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/2030/joindre_des_photos/mdc_photo_mdc_b0e415_1614084157473_1614084161478.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Jdaida ;Jdaida ;Manouba ;
TRANSTU;District tunis 1;Sidi othmen  -r- ;Dépôt el Bokri ;9.919785;36.966778;http://mdc.giscloud.com/rest/1/layers/3536205/features/2147/joindre_des_photos/mdc_photo_mdc_6a7b4b_1614176591652_1614176611665.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/2147/joindre_des_photos/mdc_photo_mdc_7ca48c_1614176600334_1614176611665.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Utique ;Utique ;Bizerte ;
TRANSTU;District tunis 1;Esnad  a-;Dépôt el Bokri ;10.0843533;36.9207162;http://mdc.giscloud.com/rest/1/layers/3536205/features/1890/joindre_des_photos/mdc_photo_mdc_c16edf_1613979106257_1613979164968.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1890/joindre_des_photos/mdc_photo_mdc_a03f39_1613979134403_1613979164968.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;Esnad r- ;Dépôt el Bokri ;10.0837119;36.9206273;http://mdc.giscloud.com/rest/1/layers/3536205/features/1891/joindre_des_photos/mdc_photo_mdc_ef44e7_1613979239259_1613979268647.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1891/joindre_des_photos/mdc_photo_mdc_8eb29e_1613979259005_1613979268647.jpg?reqlogin;Arrêt bus;Abri;yes;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;El makfoufine technopole a-;Dépôt el Bokri ;10.0808621;36.9209681;http://mdc.giscloud.com/rest/1/layers/3536205/features/1892/joindre_des_photos/mdc_photo_mdc_1aea3a_1613979423660_1613979452255.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1892/joindre_des_photos/mdc_photo_mdc_20b385_1613979437069_1613979452255.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1892/joindre_des_photos/mdc_photo_mdc_9752ae_1613979447205_1613979452255.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;El makfoufine technopole r-;Dépôt el Bokri ;10.0809097;36.920859;http://mdc.giscloud.com/rest/1/layers/3536205/features/1893/joindre_des_photos/mdc_photo_mdc_c2140b_1613979539554_1613979567253.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1893/joindre_des_photos/mdc_photo_mdc_540830_1613979550335_1613979567253.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1893/joindre_des_photos/mdc_photo_mdc_bded58_1613979561362_1613979567253.jpg?reqlogin;Arrêt bus;Abri;yes;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;El maasra  -a- ;Dépôt el Bokri ;10.116166;36.869453;http://mdc.giscloud.com/rest/1/layers/3536205/features/1774/joindre_des_photos/mdc_photo_mdc_03bbf0_1613718494564_1613718529693.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1774/joindre_des_photos/mdc_photo_mdc_83cff8_1613718507991_1613718529694.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1774/joindre_des_photos/mdc_photo_mdc_6ade3b_1613718521450_1613718529694.jpg?reqlogin;Arrêt bus;Poteau;no;no;no;no;;Ettadhamen-Mnihla ;Mnihla ;Ariana ;
TRANSTU;District tunis 1;El makfoufine   a-;Dépôt el Bokri ;10.0762392;36.9195982;http://mdc.giscloud.com/rest/1/layers/3536205/features/1894/joindre_des_photos/mdc_photo_mdc_2485e2_1613979774168_1613979801893.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1894/joindre_des_photos/mdc_photo_mdc_d05584_1613979782358_1613979801893.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1894/joindre_des_photos/mdc_photo_mdc_31d83e_1613979793489_1613979801893.jpg?reqlogin;Arrêt bus;Poteau;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;El makfoufine r- ;Dépôt el Bokri ;10.0761941;36.9195797;http://mdc.giscloud.com/rest/1/layers/3536205/features/1895/joindre_des_photos/mdc_photo_mdc_8a16aa_1613979872083_1613979895877.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1895/joindre_des_photos/mdc_photo_mdc_f4be52_1613979882021_1613979895877.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1895/joindre_des_photos/mdc_photo_mdc_60f5b3_1613979890796_1613979895877.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
TRANSTU;District tunis 1;El mrezguia a-;Dépôt el Bokri ;10.0608765;36.9138103;http://mdc.giscloud.com/rest/1/layers/3536205/features/1896/joindre_des_photos/mdc_photo_mdc_251482_1613980043214_1613980072362.jpg?reqlogin. http://mdc.giscloud.com/rest/1/layers/3536205/features/1896/joindre_des_photos/mdc_photo_mdc_7d47da_1613980052876_1613980072362.jpg?reqlogin;Arrêt bus;Autre;no;no;no;no;;Sidi thabet ;Sidi thabet ;Ariana ;
