ع/ر  المندوبية;المندوبية الجهوية للتربية;المعتمدية;إسم المؤسّسة;نوع المؤسسة;العنوان
2;تونس 2;باردو;م.إبت.خ ابن سينا باردو;ابتدائي;10 نهج عبد الحميد التليلي
2;تونس 2;باردو;Marco polo م.إبت.خ;ابتدائي;134 نهح الحبيب بوقطفة باردو 2
2;تونس 2;الزهور;م.إبت.خ إميل زولا بشوشة;ابتدائي;157 شارع مصطفى خزندار الزهور
2;تونس 2;الحرايرية;م.إبت.خ نور المعرفة (السراج المنير);ابتدائي;حي بن يونس العقبة الحرايرية
2;تونس 2;سيدي حسين;م.إبت.خ طيور الجنة;ابتدائي;
2;تونس 2;باردو;م.إبت.خ kids magic world;ابتدائي;
2;تونس 2;باردو;م.إبت.خ la martine;ابتدائي;نهج أبن أبي طالب باردو
2;تونس 2;الحرايرية;م.إبت.خ كريستو;ابتدائي;92 مقسم البوسيجور العقبة.معتمدية الحرارية تونس
2;تونس 2;سيدي حسين;المدرسة الابتدائية الخاصة DR GENUIS ;ابتدائي;2شارع 18 جانفي 1952 سيدي حسين
2;تونس 2;الحرايرية;المدرسة الابتدائية الخاصة بحر العلوم الزهروني;ابتدائي;نهجي 42500 و 636 الزهروني
2;تونس 2;سيدي حسين;المدرسة الابتدائية الخاصة البيروني SCHOOL سيدي حسين;ابتدائي;تقاسيم ايناس سيدي حسين
2;تونس 2;الحرايرية;المدرسة الابتدائية الخاصة يحي SCHOOL الحرايرية;ابتدائي;عدد 01 و02نهج سوق السراجين حي الراشدية الحرايرية
2;تونس 2;سيدي حسين;م.ا.خ. My class school;ابتدائي;38 شارع الحبيب بورقيبة سيدي حسين
2;تونس 2;سيدي حسين;انوس الجديدة;ابتدائي;01 نهج المجر سيدي حسين السيجومي
2;تونس 2;سيدي حسين;دروب المعرفة;ابتدائي;
2;تونس 2;المنزه;م.إبت.خ شفرول;ابتدائي;9 نهج غرة جوان ميتيال فيل
2;تونس 2;باردو;م.إبت.خ المنارة;ابتدائي;9 شارع 2 مارس 1934 باردو 
2;تونس 2;الحرايرية;م.إبت.خ ريان سكول;ابتدائي;12 نهج سيدي سهيل الزهروني
2;تونس 2;الحرايرية;"م.إبت.خ ""Charles Perrault""";ابتدائي;87 تقسيم البوسالمي طريق المرناقية
2;تونس 2;باردو;م.إبت.خ الأسوة;ابتدائي;04 مكرر شارع الهادي شاكر
2;تونس 2;باردو;م.إبت.خ مؤسسة الحسومي;ابتدائي;113 نهج 20 مارس 
2;تونس 2;المنزه;م . إبت. خ LES ACROBATES;ابتدائي;78شارع الطاهر بن عمار المنزه 9 تونس
2;تونس 2;المنزه;المدرسة الابتدائية الخاصة ALICE PLUS ميتوال فيل;ابتدائي;83 شارع يوغرطة متوال فيل
2;تونس 2;المنزه;Flaubert international م.إبت.خ;ابتدائي;25 نهج طارق بن زياد موتيوال فيل
2;تونس 2;المنزه;م.إبت.خ حليم سكول;ابتدائي;نهج عبد الله بن عمر عدد10
2;تونس 2;المنزه;م.إبت.خ حنبعل;ابتدائي;47 نهج محمد عبد الوهاب المنار1
2;تونس 2;المنزه;م.إبت.خ شارلمان المنزه 4;ابتدائي;10 avenue 10 décembre el menzah 4 Tunis
2;تونس 2;باردو;م.إبت.خ سليم سكول باردو;ابتدائي;01 نهج سقلنس باردو
2;تونس 2;المنزه;م.إبت.خ مالك الصغير المنزه;ابتدائي;65 شارع عبد العزيز الثعالبي
2;تونس 2;العمران;م.إبت.خ ابن الهيثم;ابتدائي;المدرسة الابتدائية الخاصة ابن الهيثم
2;تونس 2;العمران;م.إبت.خ الإستراحة;ابتدائي;14نهج أحمد أمين العمران
2;تونس 2;الحرايرية;م.إبت.خ ابن نفيس;ابتدائي;نهج 42269 عدد 1 حي السلامة الزهروني
2;تونس 2;باردو;م.إبت.خ اكاديمية باردو;ابتدائي;01 نهج الطاهر الحداد باردو
2;تونس 2;المنزه;م.إبت.خ الشنوفي;ابتدائي;11 نهج يوغرطة ميتوال فيل
2;تونس 2;الحرايرية;م.إبت.خ ابن حزم;ابتدائي;10 نهج عبد الله الميساوي العقبة العليا
2;تونس 2;باردو;م.إبت.خ جان جاك روسو باردو;ابتدائي;7 نهج ليبيا باردو
2;تونس 2;الحرايرية;م.إبت.خ قيستار فلوبار;ابتدائي; 59ZONE INDUSTRIELLE AGBA 
2;تونس 2;العمران الأعلى;م.إبت.خ منار السبيل العمران الاعلى;ابتدائي;18 نهج 62126 حي بن خلدون العمران الاعلى تونس
2;تونس 2;المنزه;م.إبت.خ ارشيماد اكاديمي المنزه;ابتدائي;15 نهج الباشية بنت معاوية المنار 1
2;تونس 2;المنزه;م.إبت.خ النبغاء المنزه;ابتدائي;33 مكرر شارع الطاهر صفر المنار 2 المنزه 9 
2;تونس 2;باردو;م.إبت.خ البيان باردو;ابتدائي;11نهج منجي سليم باردو
2;تونس 2;باردو;م.إبت.خ الحكمة باردو;ابتدائي;47 شارع المنجي سليم باردو
2;تونس 2;باردو;م.إبت.خ LA TULIPE;ابتدائي;23 نهج رقادة
2;تونس 2;العمران;م.إبت.خ الاستراحة ب العمران;ابتدائي;42 نهج الحديقة العمران
2;تونس 2;المنزه;م.إبت.خ LE BAHUT SCHOOL;ابتدائي;
2;تونس 2;باردو;م.إبت.خ انوس;ابتدائي;02 نهج باش حامبة باردو
2;تونس 2;سيدي حسين;م.إبت.خ كنوز الغد;ابتدائي;119 شارع البيئة سيدي حسين
2;تونس 2;المنزه;م.إبت.خ ديدون;ابتدائي;31 المنار 3 
2;تونس 2;الحرايرية;م.إبت.خ النجاح;ابتدائي;245 شارع الحرايرية تونس 
