CRE;SECTION;CANDIDATURE;GENRE;EFFECTIF
Sfax 2;mathématiques;Libre;M;
Sfax 2;mathématiques;Libre;F;3
Sfax 2;sciences expérimentales;Public;M;188
Sfax 2;sciences expérimentales;Public;F;735
Sfax 2;sciences expérimentales;Libre;M;2
Sfax 2;sciences expérimentales;Libre;F;21
Sfax 2;économie&gestion;Public;M;451
Sfax 2;économie&gestion;Public;F;883
Sfax 2;économie&gestion;Privé;M;68
Sfax 2;économie&gestion;Privé;F;40
Sfax 2;économie&gestion;Libre;M;12
Sfax 2;économie&gestion;Libre;F;22
Sfax 2;sciences techniques;Public;M;384
Sfax 2;sciences techniques;Public;F;157
Sfax 2;sciences techniques;Libre;M;6
Sfax 2;sciences techniques;Libre;F;1
Sfax 2;sciences de l'informatique;Public;M;87
Sfax 2;sciences de l'informatique;Public;F;41
Sfax 2;sciences de l'informatique;Libre;M;2
Sfax 2;sciences de l'informatique;Libre;F;1
Mahdia;lettres;Public;M;95
Mahdia;lettres;Public;F;576
Mahdia;lettres;Privé;M;32
Mahdia;lettres;Privé;F;69
Mahdia;lettres;Libre;M;6
Mahdia;lettres;Libre;F;24
Mahdia;mathématiques;Public;M;86
Mahdia;mathématiques;Public;F;145
Mahdia;mathématiques;Libre;M;2
Mahdia;mathématiques;Libre;F;3
Mahdia;sciences expérimentales;Public;M;131
Mahdia;sciences expérimentales;Public;F;584
Mahdia;sciences expérimentales;Libre;M;
Mahdia;sciences expérimentales;Libre;F;16
Mahdia;économie&gestion;Public;M;310
Mahdia;économie&gestion;Public;F;796
Mahdia;économie&gestion;Privé;M;70
Mahdia;économie&gestion;Privé;F;98
Mahdia;économie&gestion;Libre;M;8
Mahdia;économie&gestion;Libre;F;16
Mahdia;sciences techniques;Public;M;326
Mahdia;sciences techniques;Public;F;285
Mahdia;sciences techniques;Privé;M;24
Mahdia;sciences techniques;Privé;F;10
Mahdia;sciences techniques;Libre;M;2
Mahdia;sciences techniques;Libre;F;7
Mahdia;sciences de l'informatique;Public;M;97
Mahdia;sciences de l'informatique;Public;F;71
Mahdia;sciences de l'informatique;Libre;M;2
Mahdia;sciences de l'informatique;Libre;F;4
Mahdia;sport;Public;M;19
Mahdia;sport;Public;F;33
Kairouan;lettres;Public;M;201
Kairouan;lettres;Public;F;929
Kairouan;lettres;Privé;M;100
Kairouan;lettres;Privé;F;144
Kairouan;lettres;Libre;M;11
Kairouan;lettres;Libre;F;50
Kairouan;mathématiques;Public;M;103
Kairouan;mathématiques;Public;F;121
Kairouan;mathématiques;Privé;M;24
Kairouan;mathématiques;Privé;F;13
Kairouan;mathématiques;Libre;M;1
Kairouan;mathématiques;Libre;F;
Kairouan;sciences expérimentales;Public;M;179
Kairouan;sciences expérimentales;Public;F;843
Kairouan;sciences expérimentales;Privé;M;33
Kairouan;sciences expérimentales;Privé;F;95
Kairouan;sciences expérimentales;Libre;M;5
Kairouan;sciences expérimentales;Libre;F;15
Kairouan;économie&gestion;Public;M;583
Kairouan;économie&gestion;Public;F;1282
Kairouan;économie&gestion;Privé;M;175
Kairouan;économie&gestion;Privé;F;141
Kairouan;économie&gestion;Libre;M;9
Kairouan;économie&gestion;Libre;F;27
Kairouan;sciences techniques;Public;M;426
Kairouan;sciences techniques;Public;F;358
Kairouan;sciences techniques;Privé;M;62
Kairouan;sciences techniques;Privé;F;26
Kairouan;sciences techniques;Libre;M;10
Kairouan;sciences techniques;Libre;F;15
Kairouan;sciences de l'informatique;Public;M;132
Kairouan;sciences de l'informatique;Public;F;97
Kairouan;sciences de l'informatique;Privé;M;15
Kairouan;sciences de l'informatique;Privé;F;4
Kairouan;sciences de l'informatique;Libre;M;3
Kairouan;sciences de l'informatique;Libre;F;1
Kairouan;sport;Public;M;42
Kairouan;sport;Public;F;37
Kairouan;sport;Libre;M;
Kairouan;sport;Libre;F;
Monastir;lettres;Public;M;120
Monastir;lettres;Public;F;615
Monastir;lettres;Privé;M;14
Monastir;lettres;Privé;F;44
Monastir;lettres;Libre;M;11
Monastir;lettres;Libre;F;28
Monastir;mathématiques;Public;M;229
Monastir;mathématiques;Public;F;267
Monastir;mathématiques;Privé;M;10
Monastir;mathématiques;Privé;F;11
Monastir;mathématiques;Libre;M;2
Monastir;mathématiques;Libre;F;9
Monastir;sciences expérimentales;Public;M;203
Monastir;sciences expérimentales;Public;F;970
Monastir;sciences expérimentales;Privé;M;19
Monastir;sciences expérimentales;Privé;F;53
Monastir;sciences expérimentales;Libre;M;6
Monastir;sciences expérimentales;Libre;F;22
Monastir;économie&gestion;Public;M;578
Monastir;économie&gestion;Public;F;1358
Monastir;économie&gestion;Privé;M;199
Monastir;économie&gestion;Privé;F;199
Monastir;économie&gestion;Libre;M;24
Monastir;économie&gestion;Libre;F;37
Monastir;sciences techniques;Public;M;718
Monastir;sciences techniques;Public;F;598
Monastir;sciences techniques;Privé;M;119
Monastir;sciences techniques;Privé;F;59
Monastir;sciences techniques;Libre;M;12
Monastir;sciences techniques;Libre;F;7
Monastir;sciences de l'informatique;Public;M;268
Monastir;sciences de l'informatique;Public;F;220
Monastir;sciences de l'informatique;Privé;M;14
Monastir;sciences de l'informatique;Privé;F;9
Monastir;sciences de l'informatique;Libre;M;3
Monastir;sciences de l'informatique;Libre;F;4
Monastir;sport;Public;M;66
Monastir;sport;Public;F;60
Sousse;lettres;Public;M;248
Sousse;lettres;Public;F;1025
Sousse;lettres;Privé;M;35
Sousse;lettres;Privé;F;59
Sousse;lettres;Libre;M;15
Sousse;lettres;Libre;F;53
Sousse;mathématiques;Public;M;250
Sousse;mathématiques;Public;F;298
Sousse;mathématiques;Privé;M;22
Sousse;mathématiques;Privé;F;21
Sousse;mathématiques;Libre;M;1
Sousse;mathématiques;Libre;F;6
Sousse;sciences expérimentales;Public;M;212
Sousse;sciences expérimentales;Public;F;1088
Sousse;sciences expérimentales;Privé;M;43
Sousse;sciences expérimentales;Privé;F;117
Sousse;sciences expérimentales;Libre;M;8
Sousse;sciences expérimentales;Libre;F;39
Sousse;économie&gestion;Public;M;662
Sousse;économie&gestion;Public;F;1304
Sousse;économie&gestion;Privé;M;261
Sousse;économie&gestion;Privé;F;210
Sousse;économie&gestion;Libre;M;12
Sousse;économie&gestion;Libre;F;45
Sousse;sciences techniques;Public;M;809
Sousse;sciences techniques;Public;F;565
Sousse;sciences techniques;Privé;M;160
Sousse;sciences techniques;Privé;F;47
Sousse;sciences techniques;Libre;M;17
Sousse;sciences techniques;Libre;F;22
Sousse;sciences de l'informatique;Public;M;230
Sousse;sciences de l'informatique;Public;F;102
Sousse;sciences de l'informatique;Privé;M;19
Sousse;sciences de l'informatique;Privé;F;8
Sousse;sciences de l'informatique;Libre;M;5
Sousse;sciences de l'informatique;Libre;F;3
Sousse;sport;Public;M;79
Sousse;sport;Public;F;58
Nabeul;lettres;Public;M;251
Nabeul;lettres;Public;F;1048
Nabeul;lettres;Privé;M;65
Nabeul;lettres;Privé;F;109
Nabeul;lettres;Libre;M;17
Nabeul;lettres;Libre;F;65
Nabeul;mathématiques;Public;M;215
Nabeul;mathématiques;Public;F;286
Nabeul;mathématiques;Privé;M;29
Nabeul;mathématiques;Privé;F;28
Nabeul;mathématiques;Libre;M;3
Nabeul;mathématiques;Libre;F;4
Nabeul;sciences expérimentales;Public;M;241
Nabeul;sciences expérimentales;Public;F;1153
Nabeul;sciences expérimentales;Privé;M;20
Nabeul;sciences expérimentales;Privé;F;97
Nabeul;sciences expérimentales;Libre;M;11
Nabeul;sciences expérimentales;Libre;F;30
Nabeul;économie&gestion;Public;M;848
Nabeul;économie&gestion;Public;F;1529
Nabeul;économie&gestion;Privé;M;476
Nabeul;économie&gestion;Privé;F;398
Nabeul;économie&gestion;Libre;M;24
Nabeul;économie&gestion;Libre;F;58
Nabeul;sciences techniques;Public;M;611
Nabeul;sciences techniques;Public;F;486
Nabeul;sciences techniques;Privé;M;79
Nabeul;sciences techniques;Privé;F;28
Nabeul;sciences techniques;Libre;M;9
Nabeul;sciences techniques;Libre;F;13
Nabeul;sciences de l'informatique;Public;M;477
Nabeul;sciences de l'informatique;Public;F;401
Nabeul;sciences de l'informatique;Privé;M;92
Nabeul;sciences de l'informatique;Privé;F;40
Nabeul;sciences de l'informatique;Libre;M;6
Nabeul;sciences de l'informatique;Libre;F;8
Nabeul;sport;Public;M;29
Nabeul;sport;Public;F;30
